Pin_No,Pin_Name,PDK_Cell,Pin_Type,Core_Signal,Index,Cell_Macro,Module
1,VDDPST,PVDD2CDG,Power,,,POWER_IO_CELL,power_io_pad
2,VSSPST,PVSS2CDG,Ground,,,GROUND_IO_CELL,power_io_pad
3,VDD_1_2,PVDD2CDG,Power,,,POWER_IO_CELL,power_io_pad
4,RESET_N,PRUW0408CDG,Reset,reset_n_btc,,RESET_IO_CELL,power_io_pad
5,XTAL_IN,PXOE1CDG,Crystal,xtal_in_btc,,CLOCK_IO_CELL,power_io_pad
6,XTAL_OUT,PXOE1CDG,Crystal,,,CLOCK_IO_CELL,power_io_pad
7,VDD_1_8,PVDD2CDG,Analog,,,ANALOG_P_CELL,analog_io_pad
8,VDD_2_5,PVDD2CDG,Analog,,,ANALOG_P_CELL,analog_io_pad
9,ANA0,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
10,ANA1,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
11,ANA2,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
12,ANA3,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
13,ANA4,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
14,ANA5,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
15,ANA6,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
16,ANA7,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
17,ANA8,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
18,ANA9,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
19,ADC_IN,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
20,DAC_OUT,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
21,LDO_1_2_ACAP,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
22,LDO_1_2_DCAP,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
23,LDO_1_8_ACAP,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
24,LDO_1_8_DCAP,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
25,LDO_2_5_ACAP,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
26,LDO_2_5_DCAP,PDB3A,Analog,,,ANALOG_IO_CELL,analog_io_pad
27,TRST,PRDW0408CDG,JTAG,trst_jtag_btc,,DIGITAL_IO_CELL,digital_io_pad
28,TCK,PRDW0408CDG,JTAG,tck_jtag_btc,,DIGITAL_IO_CELL,digital_io_pad
29,TMS,PRDW0408CDG,JTAG,tms_jtag_btc,,DIGITAL_IO_CELL,digital_io_pad
30,TDI,PRDW0408CDG,JTAG,tdi_jtag_btc,,DIGITAL_IO_CELL,digital_io_pad
31,TDO,PRDW0408CDG,JTAG,tdo_jtag_bto,,DIGITAL_IO_CELL,digital_io_pad
32,GPIO0,PRUW0408CDG,GPIO,gpio_pad,0,GPIO_SDA_CELL,gpio_io_pad
33,GPIO1,PRDW0408CDG,GPIO,gpio_pad,1,GPIO_CELL,gpio_io_pad
34,GPIO2,PRDW0408CDG,GPIO,gpio_pad,2,GPIO_CELL,gpio_io_pad
35,GPIO3,PRDW0408CDG,GPIO,gpio_pad,3,GPIO_CELL,gpio_io_pad
36,GPIO4,PRDW0408CDG,GPIO,gpio_pad,4,GPIO_CELL,gpio_io_pad
37,GPIO5,PRDW0408CDG,GPIO,gpio_pad,5,GPIO_CELL,gpio_io_pad
38,GPIO6,PRDW0408CDG,GPIO,gpio_pad,6,GPIO_CELL,gpio_io_pad
39,GPIO7,PRDW0408CDG,GPIO,gpio_pad,7,GPIO_CELL,gpio_io_pad
40,GPIO8,PRDW0408CDG,GPIO,gpio_pad,8,GPIO_CELL,gpio_io_pad
41,GPIO9,PRDW0408CDG,GPIO,gpio_pad,9,GPIO_CELL,gpio_io_pad
42,GPIO10,PRDW0408CDG,GPIO,gpio_pad,10,GPIO_CELL,gpio_io_pad
43,GPIO11,PRDW0408CDG,GPIO,gpio_pad,11,GPIO_CELL,gpio_io_pad
44,GPIO12,PRDW0408CDG,GPIO,gpio_pad,12,GPIO_CELL,gpio_io_pad
45,GPIO13,PRDW0408CDG,GPIO,gpio_pad,13,GPIO_CELL,gpio_io_pad
46,GPIO14,PRDW0408CDG,GPIO,gpio_pad,14,GPIO_CELL,gpio_io_pad
47,GPIO15,PRDW0408CDG,GPIO,gpio_pad,15,GPIO_CELL,gpio_io_pad
48,GPIO16,PRDW0408CDG,GPIO,gpio_pad,16,GPIO_CELL,gpio_io_pad
49,GPIO17,PRDW0408CDG,GPIO,gpio_pad,17,GPIO_CELL,gpio_io_pad
50,GPIO18,PRDW0408CDG,GPIO,gpio_pad,18,GPIO_CELL,gpio_io_pad
51,GPIO19,PRDW0408CDG,GPIO,gpio_pad,19,GPIO_CELL,gpio_io_pad
52,GPIO20,PRDW0408CDG,GPIO,gpio_pad,20,GPIO_CELL,gpio_io_pad
53,GPIO21,PRDW0408CDG,GPIO,gpio_pad,21,GPIO_CELL,gpio_io_pad
54,GPIO22,PRDW0408CDG,GPIO,gpio_pad,22,GPIO_CELL,gpio_io_pad
